 n_iter       lr  weight_decay  dropout_p  batch_size  n_freeze  use_n_layers   fc1   fc2  fc3  use_n_layers_cross_att  fc1_cross_att  fc2_cross_att  best_f1
    1.0 0.000244      0.023435   0.400265        29.0       4.0           3.0  88.0 112.0 55.0                     2.0          777.0          539.0 0.797655
    2.0 0.000879      0.054527   0.070011        93.0       6.0           2.0 104.0  83.0 18.0                     2.0          737.0          569.0 0.813252
    3.0 0.000691      0.040680   0.090140        70.0       3.0           2.0 217.0  78.0 39.0                     1.0          767.0          597.0 0.793054
    4.0 0.000794      0.031915   0.471238        43.0       5.0           3.0 157.0  66.0 63.0                     1.0          852.0          440.0 0.806189
    5.0 0.000454      0.092936   0.033069        58.0       4.0           1.0 141.0  66.0 45.0                     2.0          836.0          503.0 0.815624
    6.0 0.000306      0.032653   0.156665        87.0       5.0           1.0 177.0  92.0 58.0                     1.0          881.0          531.0 0.823422
    7.0 0.000059      0.060912   0.192935        76.0       3.0           2.0 224.0 108.0 52.0                     2.0          811.0          533.0 0.830758
    8.0 0.000607      0.053758   0.467590        47.0       5.0           2.0 133.0 120.0 41.0                     1.0          852.0          467.0 0.803924
    9.0 0.000553      0.005615   0.349194        28.0       4.0           3.0 183.0 123.0 27.0                     1.0          630.0          466.0 0.778654
   10.0 0.000351      0.047141   0.392957        91.0       3.0           1.0 243.0  91.0 33.0                     1.0          725.0          411.0 0.810866
   11.0 0.000010      0.082363   0.148756        92.0       4.0           1.0 217.0  97.0 55.0                     2.0          873.0          492.0 0.814327
   12.0 0.000096      0.036343   0.170163        73.0       4.0           2.0 200.0 107.0 56.0                     2.0          827.0          555.0 0.809288
   13.0 0.000010      0.076801   0.159603        85.0       3.0           2.0 256.0 119.0 57.0                     2.0          835.0          538.0 0.806621
   14.0 0.000010      0.059070   0.221676        83.0       3.0           1.0 205.0 101.0 52.0                     2.0          815.0          489.0 0.815280
   15.0 0.000052      0.065061   0.232710        76.0       3.0           1.0 198.0  92.0 46.0                     2.0          801.0          489.0 0.834559
   16.0 0.000010      0.097087   0.333368        76.0       3.0           2.0 213.0 101.0 43.0                     2.0          790.0          432.0 0.807582
   17.0 0.000010      0.063151   0.255569        75.0       3.0           1.0 154.0  92.0 54.0                     2.0          868.0          458.0 0.818822
   18.0 0.000047      0.031750   0.205721        76.0       3.0           1.0 152.0  83.0 51.0                     2.0          825.0          495.0 0.802340
   19.0 0.000097      0.064801   0.200180        72.0       3.0           2.0 221.0 100.0 46.0                     2.0          793.0          534.0 0.829593
   20.0 0.000068      0.069635   0.239566        74.0       3.0           1.0 173.0  87.0 47.0                     2.0          840.0          472.0 0.833726
   21.0 0.000062      0.067877   0.144361        66.0       3.0           2.0 200.0  81.0 38.0                     2.0          789.0          554.0 0.820739
   22.0 0.000051      0.068122   0.213682        71.0       3.0           1.0 177.0  75.0 39.0                     2.0          797.0          490.0 0.828184
   23.0 0.000085      0.066548   0.244915        75.0       3.0           1.0 199.0 103.0 52.0                     2.0          837.0          491.0 0.826827
   24.0 0.000353      0.049899   0.121015        85.0       5.0           1.0 181.0  83.0 53.0                     1.0          867.0          514.0 0.829713
   25.0 0.000354      0.038034   0.063574        96.0       5.0           1.0 256.0  76.0 52.0                     1.0          900.0          474.0 0.810020
   26.0 0.000065      0.066568   0.109116        79.0       3.0           1.0 198.0  77.0 45.0                     2.0          818.0          530.0 0.829866
   27.0 0.000340      0.050641   0.099437        96.0       5.0           1.0 158.0  89.0 60.0                     2.0          899.0          567.0 0.815106
   28.0 0.000330      0.046905   0.247508        79.0       4.0           1.0 118.0  97.0 54.0                     2.0          819.0          552.0 0.818877
   29.0 0.000331      0.050805   0.000000        82.0       6.0           1.0 234.0  68.0 59.0                     1.0          900.0          482.0 0.819972
   30.0 0.000053      0.064995   0.203352        74.0       4.0           2.0 219.0 100.0 45.0                     2.0          791.0          530.0 0.826268
   31.0 0.000327      0.046821   0.161639        69.0       4.0           1.0 131.0  79.0 47.0                     1.0          811.0          450.0 0.823329
   32.0 0.000349      0.045156   0.387912        67.0       4.0           1.0 254.0 107.0 53.0                     1.0          787.0          575.0 0.821562
 
Model with highest F1 score: 
 n_iter       lr  weight_decay  dropout_p  batch_size  n_freeze  use_n_layers   fc1  fc2  fc3  use_n_layers_cross_att  fc1_cross_att  fc2_cross_att  best_f1
   15.0 0.000052      0.065061    0.23271        76.0       3.0           1.0 198.0 92.0 46.0                     2.0          801.0          489.0 0.834559
