 n_iter       lr  weight_decay  dropout_p  batch_size  n_freeze  use_n_layers   fc1   fc2  fc3  best_f1
    1.0 0.016807      0.061459   0.127521        38.0       3.0           2.0 118.0  86.0 50.0 0.813927
    2.0 0.024462      0.012376   0.086710        54.0       3.0           3.0 244.0 124.0 41.0 0.829744
    3.0 0.015741      0.028792   0.475127        59.0       4.0           1.0 154.0 115.0 24.0 0.818512
    4.0 0.011180      0.072931   0.021077        70.0       5.0           1.0  93.0  65.0 29.0 0.814528
    5.0 0.019690      0.043203   0.445653        34.0       3.0           1.0 244.0 100.0 35.0 0.804533
    6.0 0.021425      0.083239   0.481977        29.0       5.0           3.0  93.0 102.0 35.0 0.814589
    7.0 0.008048      0.093654   0.276914        93.0       5.0           3.0  79.0  98.0 48.0 0.814124
    8.0 0.001160      0.056147   0.103794        72.0       5.0           1.0 188.0 123.0 59.0 0.813682
    9.0 0.023388      0.033907   0.400869        67.0       5.0           2.0 251.0 104.0 47.0 0.824582
   10.0 0.001375      0.062315   0.080356        23.0       6.0           1.0  73.0  83.0 39.0 0.810396
   11.0 0.026019      0.001000   0.373700        61.0       4.0           3.0 153.0 128.0 32.0 0.813347
   12.0 0.024446      0.021788   0.214818        66.0       5.0           3.0 254.0 115.0 47.0 0.815155
   13.0 0.025315      0.006873   0.053425        52.0       3.0           3.0 250.0 128.0 40.0 0.806234
   14.0 0.024671      0.010996   0.043497        56.0       3.0           3.0 248.0 125.0 43.0 0.809330
   15.0 0.030000      0.015819   0.500000        85.0       6.0           2.0 256.0  86.0 30.0 0.821057
   16.0 0.002988      0.001000   0.500000        75.0       6.0           2.0 256.0  64.0 46.0 0.822499
   17.0 0.029953      0.001000   0.500000        90.0       3.0           2.0 256.0  64.0 64.0 0.816610
   18.0 0.000100      0.001000   0.500000        89.0       6.0           2.0 256.0 128.0 16.0 0.821350
   19.0 0.030000      0.001000   0.500000        79.0       6.0           2.0  64.0 128.0 64.0 0.820361
   20.0 0.000100      0.001000   0.500000        65.0       6.0           2.0  64.0  64.0 16.0 0.812514
   21.0 0.030000      0.096147   0.000000        96.0       6.0           2.0 256.0 128.0 16.0 0.815417
   22.0 0.000100      0.001000   0.500000        96.0       6.0           2.0 256.0 128.0 64.0 0.820206
   23.0 0.030000      0.001000   0.500000        96.0       6.0           3.0 256.0  64.0 64.0 0.824365
   24.0 0.030000      0.100000   0.500000        96.0       6.0           3.0 256.0  64.0 64.0 0.817008
   25.0 0.030000      0.001000   0.000000        96.0       6.0           1.0 256.0  64.0 64.0 0.810306
   26.0 0.000100      0.100000   0.500000        16.0       6.0           3.0 256.0  64.0 64.0 0.824250
   27.0 0.030000      0.001000   0.500000        16.0       6.0           3.0 256.0  64.0 16.0 0.811238
   28.0 0.000100      0.001000   0.500000        52.0       6.0           3.0 256.0 128.0 64.0 0.813318
   29.0 0.030000      0.100000   0.500000        46.0       6.0           3.0 256.0  64.0 64.0 0.803146
   30.0 0.029488      0.003260   0.091849        54.0       3.0           3.0 256.0 125.0 39.0 0.819413
   31.0 0.022891      0.015730   0.090353        55.0       4.0           3.0 240.0 123.0 42.0 0.814278
   32.0 0.024020      0.051843   0.408009        76.0       6.0           2.0 256.0  88.0 58.0 0.818599
   33.0 0.016890      0.001000   0.489692        86.0       6.0           3.0 256.0  64.0 64.0 0.820403
   34.0 0.030000      0.001000   0.078566        53.0       3.0           3.0 256.0 128.0 37.0 0.819798
   35.0 0.009184      0.015446   0.404504        54.0       6.0           3.0 256.0 124.0 41.0 0.799974
   36.0 0.030000      0.040895   0.395494        72.0       4.0           2.0 253.0  94.0 47.0 0.804955
   37.0 0.024703      0.012829   0.093967        55.0       3.0           3.0 245.0 123.0 42.0 0.810317
   38.0 0.028443      0.001000   0.500000        94.0       6.0           2.0 256.0  67.0 58.0 0.818717
   39.0 0.030000      0.083046   0.434842        66.0       6.0           2.0 256.0 128.0 64.0 0.803526
   40.0 0.023466      0.046850   0.405233        56.0       3.0           2.0 196.0  73.0 32.0 0.821434
   41.0 0.022958      0.014605   0.465194        70.0       5.0           2.0 251.0 101.0 46.0 0.812836
   42.0 0.002115      0.001630   0.500000        84.0       6.0           2.0 256.0 101.0 21.0 0.823297
   43.0 0.000100      0.100000   0.500000        16.0       3.0           3.0  64.0  64.0 64.0 0.810957
   44.0 0.030000      0.100000   0.214245        46.0       3.0           3.0 192.0  64.0 16.0 0.803083
   45.0 0.023864      0.018335   0.190723        41.0       4.0           3.0 248.0 128.0 39.0 0.813737
   46.0 0.002306      0.001000   0.500000        96.0       3.0           1.0 256.0  64.0 16.0 0.821373
   47.0 0.002434      0.001000   0.000000        96.0       5.0           3.0 256.0 128.0 16.0 0.818940
   48.0 0.023399      0.053117   0.065008        73.0       6.0           3.0  64.0 128.0 16.0 0.822391
   49.0 0.022733      0.059560   0.500000        94.0       3.0           3.0  98.0  64.0 16.0 0.821480
   50.0 0.022947      0.074700   0.000000        78.0       3.0           3.0 256.0 128.0 64.0 0.818619
 
Model with highest F1 score: 
 n_iter       lr  weight_decay  dropout_p  batch_size  n_freeze  use_n_layers   fc1   fc2  fc3  best_f1
    2.0 0.024462      0.012376    0.08671        54.0       3.0           3.0 244.0 124.0 41.0 0.829744
